Weight,Cylinders
3504,8
3693,8
3436,8
3433,8
3449,8
4341,8
4354,8
4312,8
4425,8
3850,8
3090,4
4142,8
4034,8
4166,8
3850,8
3563,8
3609,8
3353,8
3761,8
3086,8
2372,4
2833,6
2774,6
2587,6
2130,4
1835,4
2672,4
2430,4
2375,4
2234,4
2648,6
4615,8
4376,8
4382,8
4732,8
2130,4
2264,4
2228,4
2046,4
1978,4
2634,6
3439,6
3329,6
3302,6
3288,6
4209,8
4464,8
4154,8
4096,8
4955,8
4746,8
5140,8
2962,6
2408,4
3282,6
3139,6
2220,4
2123,4
2074,4
2065,4
1773,4
1613,4
1834,4
1955,4
2278,4
2126,4
2254,4
2408,4
2226,4
4274,8
4385,8
4135,8
4129,8
3672,8
4633,8
4502,8
4456,8
4422,8
2330,3
3892,8
4098,8
4294,8
4077,8
2933,4
2511,4
2979,4
2189,4
2395,4
2288,4
2506,4
2164,4
2100,4
4100,8
3672,8
3988,8
4042,8
3777,8
4952,8
4464,8
4363,8
4237,8
4735,8
4951,8
3821,8
3121,6
3278,6
2945,6
3021,6
2904,6
1950,4
4997,8
4906,8
4654,8
4499,8
2789,6
2279,4
2401,4
2379,4
2124,3
2310,4
2472,6
2265,4
4082,8
4278,8
1867,4
2158,4
2582,4
2868,4
3399,8
2660,4
2807,6
3664,8
3102,6
2875,6
2901,6
3336,6
1950,4
2451,4
1836,4
2542,4
3781,6
3632,6
3613,6
4141,8
4699,8
4457,8
4638,8
4257,8
2219,4
1963,4
2300,4
1649,4
2003,4
2125,4
2108,4
2246,4
2489,4
2391,4
2000,4
3264,6
3459,6
3432,6
3158,6
4668,8
4440,8
4498,8
4657,8
3907,6
3897,6
3730,6
3785,6
3039,6
3221,8
3169,8
2171,4
2639,4
2914,6
2592,4
2702,4
2223,4
2545,4
2984,6
1937,4
3211,6
2694,4
2957,4
2945,4
2671,4
1795,4
2464,4
2220,4
2572,4
2255,4
2202,4
4215,8
4190,8
3962,8
4215,8
3233,6
3353,6
3012,6
3085,6
2035,4
2164,4
1937,4
1795,4
3651,6
3574,6
3645,6
3193,6
1825,4
1990,4
2155,4
2565,4
3150,4
3940,8
3270,4
2930,6
3820,6
4380,8
4055,8
3870,8
3755,8
2045,4
2155,4
1825,4
2300,4
1945,4
3880,8
4060,8
4140,8
4295,8
3520,6
3425,6
3630,6
3525,6
4220,8
4165,8
4325,8
4335,8
1940,4
2740,4
2265,4
2755,4
2051,4
2075,4
1985,4
2190,4
2815,6
2600,4
2720,3
1985,4
1800,4
1985,4
2070,4
1800,4
3365,8
3735,8
3570,8
3535,6
3155,6
2965,6
2720,4
3430,6
3210,6
3380,6
3070,6
3620,6
3410,6
3425,8
3445,6
3205,8
4080,8
2155,4
2560,4
2300,4
2230,4
2515,4
2745,4
2855,4
2405,4
2830,5
3140,6
2795,4
3410,6
1990,4
2135,4
3245,6
2990,6
2890,4
3265,6
3360,6
3840,8
3725,8
3955,8
3830,8
4360,8
4054,8
3605,8
3940,8
1925,4
1975,4
1915,4
2670,4
3530,5
3900,8
3190,4
3420,8
2200,4
2150,4
2020,4
2130,4
2670,4
2595,6
2700,6
2556,4
2144,4
1968,4
2120,4
2019,4
2678,4
2870,4
3003,4
3381,6
2188,4
2711,4
2542,4
2434,4
2265,4
2110,4
2800,4
2110,4
2085,4
2335,4
2950,5
3250,4
1850,4
1835,4
2145,4
1845,4
2910,6
2420,3
2500,4
2905,4
2290,4
2490,4
2635,4
2620,4
2725,6
2385,4
1755,4
1875,4
1760,4
2065,4
1975,4
2050,4
1985,4
2215,4
2045,4
2380,4
2190,4
2320,4
2210,4
2350,4
2615,4
2635,4
3230,4
2800,4
3160,6
2900,6
2930,6
3415,6
3725,8
3060,6
3465,6
2605,4
2640,4
2395,4
2575,4
2525,4
2735,4
2865,4
3035,4
1980,4
2025,4
1970,4
2125,4
2125,4
2160,4
2205,4
2245,4
1965,4
1965,4
1995,4
2945,6
3015,6
2585,4
2835,6
2665,4
2370,4
2950,4
2790,4
2130,4
2295,4
2625,4
2720,4
